tag,total_count,json_correct,structure_correct,type_correct,edge_correct,all_correct
handwritten_only,384,384 (100.00%),384 (100.00%),381 (99.22%),108 (28.12%),108 (28.12%)
mixed_print_hand,384,384 (100.00%),384 (100.00%),384 (100.00%),102 (26.56%),102 (26.56%)
printed_only,384,384 (100.00%),384 (100.00%),384 (100.00%),181 (47.14%),181 (47.14%)
C105,192,192 (100.00%),192 (100.00%),191 (99.48%),73 (38.02%),73 (38.02%)
C106,192,192 (100.00%),192 (100.00%),191 (99.48%),79 (41.15%),79 (41.15%)
C413,192,192 (100.00%),192 (100.00%),191 (99.48%),53 (27.60%),53 (27.60%)
C445,192,192 (100.00%),192 (100.00%),192 (100.00%),63 (32.81%),63 (32.81%)
C505,192,192 (100.00%),192 (100.00%),192 (100.00%),71 (36.98%),71 (36.98%)
C603,192,192 (100.00%),192 (100.00%),192 (100.00%),52 (27.08%),52 (27.08%)
flip,576,576 (100.00%),576 (100.00%),576 (100.00%),38 (6.60%),38 (6.60%)
no_flip,576,576 (100.00%),576 (100.00%),573 (99.48%),353 (61.28%),353 (61.28%)
rot0,288,288 (100.00%),288 (100.00%),287 (99.65%),149 (51.74%),149 (51.74%)
rot1,288,288 (100.00%),288 (100.00%),287 (99.65%),83 (28.82%),83 (28.82%)
rot2,288,288 (100.00%),288 (100.00%),287 (99.65%),75 (26.04%),75 (26.04%)
rot3,288,288 (100.00%),288 (100.00%),288 (100.00%),84 (29.17%),84 (29.17%)
train,288,288 (100.00%),288 (100.00%),288 (100.00%),234 (81.25%),234 (81.25%)
test,864,864 (100.00%),864 (100.00%),861 (99.65%),157 (18.17%),157 (18.17%)
summary,1152,1152 (100.00%),1152 (100.00%),1149 (99.74%),391 (33.94%),391 (33.94%)
